timestep,P_con,P_ext,T
1000000,0.8085784240637356,1.4126222361822312,-1.6367194045646904
2000000,0.8038355903984957,1.4100449898937002,-1.6341526661308656
3000000,0.8050889477620762,1.4130872922579245,-1.6371750172321375
4000000,0.8001768636036868,1.4088275789521987,-1.6329125984099528
5000000,0.7992677377390125,1.404784512925574,-1.6288706583523045
6000000,0.8028125132223143,1.4086414314274847,-1.6327319297869396
7000000,0.8043429418684023,1.4122253616335603,-1.6363194143675779
8000000,0.7985975397246481,1.4047674241554964,-1.6288638665973727
9000000,0.7984140902332484,1.405834834696937,-1.6299574644638344
10000000,0.7984661887672746,1.4058196547102473,-1.6299430219920632
